,Return,Return-7,Return+1,Return-30,target_multi,target_bin,Month,DayOfW,Return_eth,Return_bnb,Return_ada,Return_lite,Trend_Bitcoins,R_eth,R_bnb,R_ada,R_lite,Date,avg-block-size,cost-per-transaction,hash-rate,miners-revenue,mvrv,my-wallet-n-users,n-transactions-per-block,nvt,transaction-fees-usd
1540,1.4843,4.9893,0.676,-19.3003,0.0,1.0,1,0,3.2657,-0.628,1.4156,0.7248,12.6,0.9835279506234856,-0.6570145950608629,0.4863899823638888,0.8117096459898285,2022-01-31,1.3371820064935065,138.00498560292743,203963748.12575728,37673152.98982954,1.5628944014835633,81199214.0,1772.6233766233765,4.423729261236558,567605.6929880821
1541,0.6796,4.8419,-4.6209,-18.1686,-1.0,0.0,2,1,3.8773,2.7632,3.4582,5.3039,15.6,0.9640947030818534,-0.10257217595214804,0.7879504992489221,0.7752381261343577,2022-02-01,1.190933980392157,132.12290601322186,202639308.20286277,36860308.93409871,1.609548814716365,81218629.0,1823.4313725490201,4.787423459514192,467428.7344027657
1542,-4.622,0.2737,0.5456,-20.4596,0.0,1.0,2,2,-3.9078,-4.6738,-5.6317,-5.9343,14.64,0.37061260562978177,0.7036422201602955,0.8404358387767323,0.6969575412191624,2022-02-02,1.1827169047619048,128.6140040741117,194692668.66549557,34674721.34039274,1.5717516601520143,81236156.0,1805.0612244897961,5.1574574414071135,396960.84733471094
1543,0.5679,0.0441,11.6978,-19.0489,1.0,1.0,2,3,-0.1142,0.9546,2.6982,1.6146,15.36,0.46274894716241194,0.8890932912469264,0.6845564067009106,0.6289174584405115,2022-02-03,1.2128998615384616,128.4354130182667,172445464.54596007,31845046.91622716,1.5445312326099654,81259122.0,1907.2769230769231,5.634988553892408,547595.124803543
1544,11.7139,9.8362,-0.1439,-4.7468,0.0,0.0,2,4,11.284,7.639,7.5154,9.6354,16.32,0.9513826970323476,0.9703319747661096,0.9414676538351762,0.9273316746344661,2022-02-04,1.4285829747899157,121.73739477654608,157888391.82261464,31486890.20937454,1.6992803500978864,81268811.0,2173.495798319328,4.485896533334282,586963.7038286681
1545,-0.1453,8.6606,2.3437,-3.9845,1.0,1.0,2,5,1.012,3.7708,-0.7672,0.8216,17.28,0.9957399667768562,0.9574011157847216,0.9746643051968474,0.9899678205383334,2022-02-05,1.086566423076924,186.96358645287282,206979740.54057044,40981670.2961239,1.7407888502705269,81294212.0,1405.1025641025644,3.974704807325735,427024.096713652
1546,2.3438,11.8542,3.3666,2.0562,1.0,1.0,2,6,1.4102,1.2864,1.5358,4.5326,13.92,0.9969976150969643,0.9697387477831327,0.9851345973431519,0.9842505120226768,2022-02-06,1.2200945514705883,142.31116208863673,180443876.3687024,37290363.04673385,1.7359153928610938,81300023.0,1926.720588235294,5.891274166304247,630731.7058070204
1547,3.3804,13.9208,0.6345,5.0471,0.0,1.0,2,0,2.7817,3.2318,4.6271,7.5819,18.0,0.9957907556245149,0.9670808890606744,0.9796418658282388,0.9498237537211586,2022-02-07,1.269141733766233,153.83621287036038,204326154.12338364,43425193.84147107,1.7541845653664836,81313080.0,1797.7272727272727,5.994298947670374,642541.175522647
1548,0.6015,13.8738,0.4995,5.2655,0.0,1.0,2,1,-0.6491,-5.6943,-1.5806,-2.2977,16.56,0.9662033255978413,0.47812878111420976,0.9446855583774483,0.9700288647725146,2022-02-08,1.4128728214285715,149.1479237483059,185751049.203076,39687367.62188172,1.8140947883703629,81338786.0,1898.6,2.0115779964143856,641981.8150251623
1549,0.549,19.9871,-1.7449,6.0197,-1.0,0.0,2,2,3.7894,3.4145,1.4306,4.6352,17.759999999999994,0.9003111052140436,0.25098857264661834,0.9545992129054924,0.9640630947938016,2022-02-09,1.3890481632653064,159.60862632959606,195038601.66322985,41628004.65890094,1.803592410186124,81347950.0,1774.2380952380954,1.8361528992741465,870712.2074802539
1550,-1.7649,17.2536,-2.6562,1.9404,-1.0,0.0,2,3,-5.0193,-1.7502,-3.5289,-3.628,15.84,0.7876797089105119,-0.0022202784203627667,0.8154630372865671,0.9035033090412945,2022-02-10,1.5267551690140848,152.76014129643718,188404635.62026283,39575264.28538539,1.8387430670933336,81371914.0,1821.091549295775,3.5741466354743268,725224.1395554356
1551,-2.6696,2.1856,-0.3855,-3.5067,0.0,0.0,2,4,-4.8752,-3.5562,-6.2663,-6.7078,14.16,0.9608713174399198,0.625110994627356,0.9546561179035854,0.9186869266420882,2022-02-11,1.2995136898395725,219.22262247231487,248110330.00696588,50024190.99933506,1.8163424929094953,81380862.0,1220.2620320855615,4.62826675645539,524459.5184883436
1552,-0.3957,1.9384,-0.1111,-0.815,0.0,0.0,2,5,-0.3424,0.7218,-2.0649,0.5323,13.2,0.9728290671197287,0.836922834093266,0.9962606524617655,0.9436904564674093,2022-02-12,0.9082284303797468,202.02220475858826,209633326.95775717,42217994.28383549,1.7438797881102288,81393274.0,1322.639240506329,4.74188548371819,368932.2935048048
1553,-0.0925,-0.5067,0.9228,-2.0932,0.0,1.0,2,6,-1.1426,-1.0873,-1.1521,-0.3683,11.76,0.9923563550573842,0.9841254598295683,0.9923088934564634,0.9943206246674381,2022-02-13,1.058443359477124,164.948879487187,202999360.91479018,40840022.9699916,1.7604374820233395,81416074.0,1618.248366013072,6.499140362386851,472127.9902402176
1554,1.0188,-2.8589,4.6688,-1.3676,1.0,1.0,2,0,1.8503,1.2587,0.4589,-1.0582,15.12,0.9868981378350121,0.958034494355175,0.9301174049481692,0.9073900573783256,2022-02-14,1.1096905599999998,177.37189486415718,232188811.50384504,48533029.98841529,1.73764002756505,81423668.0,1563.56,4.5983717685442045,548132.9325651738
1555,4.6699,1.0353,-1.376,3.3895,-1.0,0.0,2,1,8.3903,7.1211,5.4625,5.5851,15.36,0.9954190961631169,0.9894844237143785,0.8572221408985549,0.9196293432164451,2022-02-15,1.0628591538461536,161.78731592385745,206979740.54057044,43917652.26947889,1.8249773559804299,81443520.0,1710.179487179487,5.444932700367793,454833.4375761861
1556,-1.3828,-0.8501,-7.7882,4.0504,-1.0,0.0,2,2,-1.6544,-1.0576,-2.0449,-2.732,14.16,0.9945258493780302,0.9887531450377529,0.9688583372279997,0.8749210576507752,2022-02-16,1.0726679044585987,166.3503556087555,213256529.5453799,42514659.43399647,1.8295359929013464,81451861.0,1627.8535031847134,5.79487159185939,422986.9745092727
1557,-7.7362,-6.9485,-1.2508,-4.3365,-1.0,0.0,2,3,-7.8474,-5.8706,-5.9413,-9.213,14.64,0.9120923940152071,0.8618965691832412,0.9828262305389622,0.9553571687725757,2022-02-17,1.296436089552239,131.15154618118422,186294128.8834766,34237766.888329044,1.7987016664989406,81465274.0,1948.1716417910445,4.642877700385418,380448.1095824834
1558,-1.2852,-5.605,0.2278,-4.1044,0.0,1.0,2,4,-3.4189,-0.7651,-2.2652,-0.9765,14.64,0.9665829972490488,0.9141349484924443,0.9894699824356076,0.9957615594725922,2022-02-18,1.0517474295302012,170.43112114165922,207147949.28088072,37609546.79569337,1.6856313281954034,81487568.0,1481.0268456375836,5.103322093507692,275560.94028721994
1559,0.2402,-5.0239,-4.2141,-1.3723,-1.0,0.0,2,5,-0.7602,0.1307,0.07,0.4471,12.72,0.9884532372836944,0.9998270113534582,0.9936731984709587,0.9970830778789259,2022-02-19,0.9037676388888888,175.401154811052,200196675.81507933,35174070.58003432,1.6578873364071336,81493887.0,1392.604166666667,5.96957626603152,222072.99229718684
1560,-4.2044,-8.925,-3.5286,5.4147,-1.0,0.0,2,6,-4.8886,-4.7943,-6.4881,-4.2139,15.36,0.9863913054935965,0.9893363920855002,0.9726750469792877,0.9973748619614088,2022-02-20,1.3037946991869918,126.4798781615516,171001327.25871363,30026576.035308674,1.5830975802023477,81515713.0,1930.0975609756094,5.4038041345208265,367312.5477421071
1561,-3.5081,-12.9421,3.2656,5.8379,1.0,1.0,2,0,-2.0493,-6.3233,-7.9592,-6.6628,15.12,0.9567172914397335,0.9906248139862232,0.9969794924398189,0.9840971755202588,2022-02-21,1.0979872565789477,140.91172571137008,211318713.36036152,36863634.739900105,1.615574227619055,81521466.0,1712.2697368421052,4.890784338590672,345412.84784028353
1562,3.2838,-14.1091,-2.5844,5.5386,-1.0,0.0,2,1,2.5808,4.9287,3.5993,3.9562,17.28,0.9799041801350061,0.9936615180117535,0.976263332917269,0.9806132773403644,2022-02-22,1.0373810866666666,143.91710934435542,208538203.974041,36162771.65050291,1.568155716515773,81544008.0,1675.166666666667,3.652206059239115,309000.43815510586
